Date,Campaign,AdWords Campaign ID,Sessions,Clicks,Cost,Impressions,Transactions,Revenue,Quantity,HotelName
20161103,zZz DEV DV Devonport House - All Visitors [UK] ^REM *NM,308419727,1,0,0,129,0,0,0,De Vere Devonport House
20161103,zZz GRG The George [UK] (C) ^REM *NM,159999754,1,1,0.09,320,0,0,0,The Principal Edinburgh George…
20161103,zZz LAT DV Latimer Estate General [UK] (S) ^KW ^RLSA-B *AD,264359207,1,1,0.32,18,0,0,0,De Vere Latimer Estate
20161103,"zZz Milton Hill, Abington Brand [UK] (S) ^KW ^RLSA-B *AD",257115407,1,0,0,0,0,0,0,Milton Hill
20161103,zZz PHB Brand [UK] (S) ^KW ^RLSA-B *AD,160001554,1,0,0,0,0,0,0,Principal
20161104,DV Latimer Estate Brand [UK] (S) ^KW ^RLSA-B *AD,692789740,1,2,0.84,17,0,0,0,De Vere Latimer Estate
20161104,DV Selsdon Estate General [UK] (S) ^KW *AD,685552044,1,1,1.74,238,0,0,0,De Vere Selsdon Estate
20161104,DV Tortworth Estate Brand [WW-UK] (S) ^KW *AD,685552293,1,1,1.06,30,0,0,0,De Vere Tortworth Estate
20161104,DV Wokefield Estate General [UK] (S) ^KW ^RLSA-B *AD,692789758,1,1,5.47,148,0,0,0,De Vere Wokefield Estate
20161104,ETD Eastwood Hall Brand [UK] (S) ^KW ^RLSA-B *AD,159636514,1,0,0,0,0,0,0,Eastwood Hall
20161104,ETT Ettington Chase Brand [UK] (S) ^KW ^RLSA-B *AD,160000114,1,0,0,0,0,0,0,Ettington Chase
20161104,PHB Principal Hayley Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692715556,1,1,1.31,38,0,0,0,Principal
20161104,SJO St. Johns Brand [UK] (S) ^KW ^RLSA-B *AD,159999154,1,0,0,0,0,0,0,The St Johns Hotel
20161104,"zZz Denham Grove, Uxbridge Brand [UK] (S) ^KW ^RLSA-B *AD",257113967,1,0,0,0,0,0,0,Denham Grove
20161104,zZz DEV DV Devonport House Brand [UK] (S) ^KW ^RLSA-B *AD,257114207,1,0,0,0,0,0,0,De Vere Devonport House
20161104,zZz GRG The George PH Brand + City [UK] (S) ^KW ^RLSA-B *AD,183673714,1,0,0,0,0,0,0,The Principal Edinburgh George…
20161104,zZz HOR DV Horsley Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257114687,1,0,0,0,0,0,0,De Vere Horsley Estate
20161104,zZz LAT DV Latimer Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257115167,1,0,0,0,0,0,0,De Vere Latimer Estate
20161104,zZz WOK DV Wokefield Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257116847,1,0,0,0,0,0,0,De Vere Wokefield Estate
20161105,DV Devonport House - All Visitors [UK] ^REM *NM,692789728,1,0,0,0,0,0,0,De Vere Devonport House
20161105,DV Tortworth Estate Brand + City [UK] (S) ^KW *AD,685510691,1,3,3.91,78,0,0,0,De Vere Tortworth Estate
20161105,DVD St. Davids [UK] (C) ^REM *NM,160062514,1,0,0,0,0,0,0,The St David's Hotel
20161105,ETT Ettington Chase Brand [UK] (S) ^KW ^RLSA-B *AD,160000114,1,0,0,0,0,0,0,Ettington Chase
20161105,PHB Principal Hayley Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692715556,1,1,0.31,8,0,0,0,Principal
20161105,ROX The Roxburghe Hotel Brand [UK] (S) ^KW *AD,259244434,1,0,0,0,0,0,0,The Roxburghe
20161105,zZz DVD St. Davids Brand [UK] (S) ^KW ^RLSA-B *AD,160014874,1,0,0,0,0,0,0,The St David's Hotel
20161105,zZz HOR DV Horsley Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257114687,1,0,0,0,0,0,0,De Vere Horsley Estate
20161105,zZz PHB Brand [UK] (S) ^KW ^RLSA-B *AD,160001554,1,0,0,0,0,0,0,Principal
20161105,zZz WOK DV Wokefield Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257116847,1,0,0,0,0,0,0,De Vere Wokefield Estate
20161106,DV Alexandra House General [UK] (S) ^KW *AD,685552230,1,1,1.19,283,0,0,0,De Vere Alexandra House
20161106,DV Cotswold Water Park Brand [WW-UK] (S) ^KW *AD,685552281,1,1,0.14,79,0,0,0,De Vere Cotswold Water Park
20161106,DV Tortworth Estate Brand [WW-UK] (S) ^KW *AD,685552293,1,1,0.44,29,0,0,0,De Vere Tortworth Estate
