CWT BEHEERMAATSCHAPPIJ,998729,TA,,,,
FC USA INC,2907270,TA,,,,
ETON TRAVEL AGENCY LTD,1141157,TA,,,,
WAL MART STORES INC.,507349,TA,,,,
ICKENHAM TRAVEL GROUP PLC,1024579,TA,,,,
CWT - BEHEERMAATSCHAPPIJ B.V.SWITZERLAND,32257302,TA,,,,
CWT - BEHEERMAATSCHAPPIJ B.V.SWITZERLAND,491279,TA,,,,
BLUELINE TRAVEL AGENTS LTD,1486805,TA,,,,
ATP BUSINESS TRAVEL BV,7393945,TA,,,,
TZELL TRAVEL L.L.C.,37783303,TA,,,,
UVET AMERICAN EXPRESS CORPORATETRAVEL SP,540641,TA,,,,
DIXIE TTRAVELS LTD,7061686,TA,,,,
THE POLYGLOBE GROUP,500967,TA,,,,
KC Jones Conference and Events Ltd,464081,TA,,,,
Number 20 Ltd,588983,TA,,,,
Spy Games Ltd,644823,TA,,,,
Bureau Acote,26266301,TA,,,,
NGA Events (Nigel Greaves Associates)(NC,3832301,TA,,,,
The Corporate Team,185011,TA,,,,
DP&L Travel,1025518,TA,,,,
WELL PLACED EVENTS LTD,1173352,TA,,,,
EMG Event Management Group,1636505,TA,,,,
